istasyon_no,yil,ay,gun,saat,maksimum_sicaklik_derece
19141,2018,7,8,14,31.0
19141,2018,7,8,15,30.7
19141,2018,7,8,16,29.8
19141,2018,7,8,17,28.4
19141,2018,7,8,18,26.5
19141,2018,7,8,19,25.1
19141,2018,7,8,20,23.8
19141,2018,7,8,21,23.2
19141,2018,7,8,22,22.0
19141,2018,7,8,23,20.4
19141,2018,7,9,0,19.1
19141,2018,7,9,1,18.0
19141,2018,7,9,2,17.5
19141,2018,7,9,3,17.5
19141,2018,7,9,4,21.0
19141,2018,7,9,5,21.6
19141,2018,7,9,6,23.4
19141,2018,7,9,7,24.4
19141,2018,7,9,8,26.8
19141,2018,7,9,9,28.8
19141,2018,7,9,10,30.6
19141,2018,7,9,11,31.9
19141,2018,7,9,12,32.3
19141,2018,7,9,13,32.0
19141,2018,7,9,14,30.3
19141,2018,7,9,15,27.7
19141,2018,7,9,16,27.8
19141,2018,7,9,17,27.8
19141,2018,7,9,18,25.7
19141,2018,7,9,19,24.1
19141,2018,7,9,20,23.0
19141,2018,7,9,21,22.0
19141,2018,7,9,22,21.0
19141,2018,7,9,23,19.9
19141,2018,7,10,0,18.7
19141,2018,7,10,1,18.1
19141,2018,7,10,2,18.2
19141,2018,7,10,3,17.8
19141,2018,7,10,4,20.1
19141,2018,7,10,5,22.5
19141,2018,7,10,6,24.8
19141,2018,7,10,7,26.0
19141,2018,7,10,8,28.9
19141,2018,7,10,9,30.8
19141,2018,7,10,10,31.8
19141,2018,7,10,11,32.9
19141,2018,7,10,12,33.0
19141,2018,7,10,13,30.6
19141,2018,7,10,14,30.9
19141,2018,7,10,15,30.4
19141,2018,7,10,16,29.2
19141,2018,7,10,17,28.5
19141,2018,7,10,18,27.2
19141,2018,7,10,19,25.8
19141,2018,7,10,20,25.3
19141,2018,7,10,21,24.2
19141,2018,7,10,22,22.0
19141,2018,7,10,23,20.9
19141,2018,7,11,0,21.4
19141,2018,7,11,1,21.4
19141,2018,7,11,2,20.9
19141,2018,7,11,3,20.0
19141,2018,7,11,4,22.5
19141,2018,7,11,5,24.4
19141,2018,7,11,6,25.8
