istasyon_no,yil,ay,gun,saat,saatlik_nispi_nem_yuzde
19141,2018,7,13,13,42.0
19141,2018,7,13,14,44.0
19141,2018,7,13,15,47.0
19141,2018,7,13,16,51.0
19141,2018,7,13,17,54.0
19141,2018,7,13,18,59.0
19141,2018,7,13,19,62.0
19141,2018,7,13,20,59.0
19141,2018,7,13,21,65.0
19141,2018,7,13,22,69.0
19141,2018,7,13,23,71.0
19141,2018,7,14,0,75.0
19141,2018,7,14,1,78.0
19141,2018,7,14,2,81.0
19141,2018,7,14,3,84.0
19141,2018,7,14,4,78.0
19141,2018,7,14,5,72.0
19141,2018,7,14,6,63.0
19141,2018,7,14,7,61.0
19141,2018,7,14,8,54.0
19141,2018,7,14,9,49.0
19141,2018,7,14,10,40.0
19141,2018,7,14,11,39.0
19141,2018,7,14,12,88.0
19141,2018,7,14,13,75.0
19141,2018,7,14,14,58.0
19141,2018,7,14,15,58.0
19141,2018,7,14,16,55.0
19141,2018,7,14,17,62.0
19141,2018,7,14,18,69.0
19141,2018,7,14,19,81.0
19141,2018,7,14,20,83.0
19141,2018,7,14,21,80.0
19141,2018,7,14,22,83.0
19141,2018,7,14,23,82.0
19141,2018,7,15,0,89.0
19141,2018,7,15,1,95.0
19141,2018,7,15,2,99.0
19141,2018,7,15,3,98.0
19141,2018,7,15,4,94.0
19141,2018,7,15,5,78.0
19141,2018,7,15,6,74.0
19141,2018,7,15,7,59.0
19141,2018,7,15,8,44.0
19141,2018,7,15,9,41.0
19141,2018,7,15,10,39.0
19141,2018,7,15,11,43.0
19141,2018,7,15,12,44.0
19141,2018,7,15,13,50.0
19141,2018,7,15,14,42.0
19141,2018,7,15,15,46.0
19141,2018,7,15,16,48.0
19141,2018,7,15,17,50.0
19141,2018,7,15,18,62.0
19141,2018,7,15,19,71.0
19141,2018,7,15,20,74.0
19141,2018,7,15,21,79.0
19141,2018,7,15,22,79.0
19141,2018,7,15,23,85.0
19141,2018,7,16,0,88.0
19141,2018,7,16,1,93.0
19141,2018,7,16,2,95.0
19141,2018,7,16,3,97.0
19141,2018,7,16,4,92.0
19141,2018,7,16,5,73.0
19141,2018,7,16,6,67.0
19141,2018,7,16,7,49.0
19141,2018,7,16,8,40.0
19141,2018,7,16,9,35.0
19141,2018,7,16,10,37.0
19141,2018,7,16,11,34.0
19141,2018,7,16,12,31.0
19141,2018,7,16,13,27.0
19141,2018,7,16,14,31.0
19141,2018,7,16,15,41.0
19141,2018,7,16,16,44.0
19141,2018,7,16,17,42.0
19141,2018,7,16,18,51.0
19141,2018,7,16,19,62.0
19141,2018,7,16,20,65.0
19141,2018,7,16,21,68.0
19141,2018,7,16,22,75.0
19141,2018,7,16,23,79.0
19141,2018,7,17,0,83.0
19141,2018,7,17,1,85.0
19141,2018,7,17,2,86.0
19141,2018,7,17,3,89.0
19141,2018,7,17,4,83.0
19141,2018,7,17,5,65.0
19141,2018,7,17,6,55.0
